year,anom,scenario,country
2015,0.5303143966538787,ssp126,United States of America
2016,1.550633834382375,ssp126,United States of America
2017,1.4814366459358412,ssp126,United States of America
2018,0.8975595622576321,ssp126,United States of America
2019,0.666657404026573,ssp126,United States of America
2020,0.48540227021067417,ssp126,United States of America
2021,1.630165120724082,ssp126,United States of America
2022,1.3863140315691513,ssp126,United States of America
2023,0.9295348599984956,ssp126,United States of America
2024,1.6075812497873436,ssp126,United States of America
2025,1.986586530794802,ssp126,United States of America
2026,1.6820796840658105,ssp126,United States of America
2027,1.1674138263526277,ssp126,United States of America
2028,1.4479992815891902,ssp126,United States of America
2029,1.8868127566264672,ssp126,United States of America
2030,1.3975131851613163,ssp126,United States of America
2031,1.2474557525752805,ssp126,United States of America
2032,1.6726172913446877,ssp126,United States of America
2033,0.9660695930852936,ssp126,United States of America
2034,1.9715465288418965,ssp126,United States of America
2035,1.355739358877849,ssp126,United States of America
2036,1.1582075917519237,ssp126,United States of America
2037,1.6717023789193262,ssp126,United States of America
2038,2.0522882129033206,ssp126,United States of America
2039,1.3437776456017119,ssp126,United States of America
2040,1.7349374955013206,ssp126,United States of America
2041,2.09552102795948,ssp126,United States of America
2042,2.289925734365868,ssp126,United States of America
2043,1.7494982040945557,ssp126,United States of America
2044,1.1341665127190768,ssp126,United States of America
2045,1.3010001122101797,ssp126,United States of America
2046,2.104271215158675,ssp126,United States of America
2047,1.5720695361658477,ssp126,United States of America
2048,1.6372060356127407,ssp126,United States of America
2049,1.8671970773149813,ssp126,United States of America
2050,2.186666346237398,ssp126,United States of America
2051,1.497771074573941,ssp126,United States of America
2052,2.033659306100869,ssp126,United States of America
2053,1.8848178872687726,ssp126,United States of America
2054,1.8835731216530558,ssp126,United States of America
2055,1.9219977804377828,ssp126,United States of America
2056,2.0747755464641076,ssp126,United States of America
2057,1.4817687222932296,ssp126,United States of America
2058,2.0769891692961164,ssp126,United States of America
2059,2.5578988307801764,ssp126,United States of America
2060,1.0921064674762893,ssp126,United States of America
2061,1.8518672684679058,ssp126,United States of America
2062,2.28803502144471,ssp126,United States of America
2063,1.9667365477068028,ssp126,United States of America
2064,1.72864407548868,ssp126,United States of America
2065,1.8530849012504804,ssp126,United States of America
2066,2.220156436784106,ssp126,United States of America
2067,1.7266064019893061,ssp126,United States of America
2068,1.8535584944705903,ssp126,United States of America
2069,1.9497614894943953,ssp126,United States of America
2070,1.9746864738477834,ssp126,United States of America
2071,1.526966136391652,ssp126,United States of America
2072,2.2453204253345023,ssp126,United States of America
2073,1.5122537934495441,ssp126,United States of America
2074,2.2205391531076617,ssp126,United States of America
2075,1.8836265083061863,ssp126,United States of America
2076,1.5309129340261054,ssp126,United States of America
2077,2.037347628261574,ssp126,United States of America
2078,1.8988892747314567,ssp126,United States of America
2079,1.8659303047082814,ssp126,United States of America
2080,2.4110744694797255,ssp126,United States of America
2081,1.4894226332034983,ssp126,United States of America
2082,2.0969052015171,ssp126,United States of America
2083,2.1100928140428032,ssp126,United States of America
2084,1.8391217514498275,ssp126,United States of America
2085,1.6726488891448799,ssp126,United States of America
2086,1.9711275319313362,ssp126,United States of America
2087,1.7377640778941519,ssp126,United States of America
2088,2.2440552981387705,ssp126,United States of America
2089,1.8580884140578577,ssp126,United States of America
2090,2.2439237803943084,ssp126,United States of America
2091,2.110447304375977,ssp126,United States of America
2092,2.0566121289902335,ssp126,United States of America
2093,1.8913943429022995,ssp126,United States of America
2094,1.9985010531454361,ssp126,United States of America
2095,1.3623446627632387,ssp126,United States of America
2096,1.7138825935367707,ssp126,United States of America
2097,1.8975775007090452,ssp126,United States of America
2098,1.551898218762994,ssp126,United States of America
2099,1.525946693446697,ssp126,United States of America
2100,2.0172917060663504,ssp126,United States of America
2015,1.168356815258557,ssp126,Russia
2016,0.719230879309549,ssp126,Russia
2017,-0.3562428696197584,ssp126,Russia
2018,-0.017004890417504772,ssp126,Russia
2019,0.8894347675569055,ssp126,Russia
2020,1.6381982543536253,ssp126,Russia
2021,1.1038704981413447,ssp126,Russia
2022,1.75226372469011,ssp126,Russia
2023,2.5807220052370443,ssp126,Russia
2024,1.6293765679473557,ssp126,Russia
2025,2.271157869160899,ssp126,Russia
2026,0.9098114225939531,ssp126,Russia
2027,1.6965048081945364,ssp126,Russia
2028,1.4805558012960953,ssp126,Russia
2029,1.9427858831258251,ssp126,Russia
2030,2.130555885759052,ssp126,Russia
2031,1.6137873761250576,ssp126,Russia
2032,2.159566248073068,ssp126,Russia
2033,1.7552844891348727,ssp126,Russia
2034,1.9118336646708978,ssp126,Russia
2035,1.8157166271554859,ssp126,Russia
2036,1.600335494050493,ssp126,Russia
2037,1.718560047653946,ssp126,Russia
2038,1.4229762255628642,ssp126,Russia
2039,1.9984626091639504,ssp126,Russia
2040,2.0870648142581967,ssp126,Russia
2041,2.361763849989788,ssp126,Russia
2042,1.2051195401713088,ssp126,Russia
2043,1.8892542287835232,ssp126,Russia
2044,2.27909983412471,ssp126,Russia
2045,1.0422826012526119,ssp126,Russia
2046,1.687043366749471,ssp126,Russia
2047,1.9764609043743988,ssp126,Russia
2048,1.5313691198041375,ssp126,Russia
2049,2.3453968816910247,ssp126,Russia
2050,1.8310777860037921,ssp126,Russia
2051,0.9353772897427486,ssp126,Russia
2052,1.6582863090734103,ssp126,Russia
2053,1.5154563062970696,ssp126,Russia
2054,1.242123036282424,ssp126,Russia
2055,2.4438040133941215,ssp126,Russia
2056,2.9462834055761213,ssp126,Russia
2057,1.2516073577223434,ssp126,Russia
2058,2.628135850522142,ssp126,Russia
2059,2.0745170382476195,ssp126,Russia
2060,2.4260048517506267,ssp126,Russia
2061,1.8689422946601042,ssp126,Russia
2062,1.8455287447452937,ssp126,Russia
2063,2.693718390372823,ssp126,Russia
2064,2.028178231550176,ssp126,Russia
2065,1.3930695043870691,ssp126,Russia
2066,2.0579477702846662,ssp126,Russia
2067,1.8762992836647676,ssp126,Russia
2068,2.158421568921767,ssp126,Russia
2069,1.8080441880988627,ssp126,Russia
2070,1.555672211103527,ssp126,Russia
2071,1.4635992171110541,ssp126,Russia
2072,1.9464522362488825,ssp126,Russia
2073,2.0227696837605436,ssp126,Russia
2074,2.2534574755128123,ssp126,Russia
2075,2.2809239693717123,ssp126,Russia
2076,2.1860214849473167,ssp126,Russia
2077,2.13116220472663,ssp126,Russia
2078,2.6003112453036916,ssp126,Russia
2079,2.3759814016624543,ssp126,Russia
2080,2.332442289164508,ssp126,Russia
2081,1.4877310357362434,ssp126,Russia
2082,1.5432364333471256,ssp126,Russia
2083,1.4672714972134075,ssp126,Russia
2084,1.8982248677536908,ssp126,Russia
2085,2.453806657086427,ssp126,Russia
2086,1.948499381582832,ssp126,Russia
2087,2.5975837361280565,ssp126,Russia
2088,1.7426747442484076,ssp126,Russia
2089,2.4454132037369276,ssp126,Russia
2090,1.7576245763915634,ssp126,Russia
2091,2.044862990205749,ssp126,Russia
2092,2.389592854123728,ssp126,Russia
2093,2.4667611503229776,ssp126,Russia
2094,2.48956974603794,ssp126,Russia
2095,1.7915846190064395,ssp126,Russia
2096,1.7663745969280866,ssp126,Russia
2097,2.051547349286915,ssp126,Russia
2098,1.2151277523415602,ssp126,Russia
2099,1.3120690880214345,ssp126,Russia
2100,0.48436756287653954,ssp126,Russia
2015,0.782827473990259,ssp126,Japan
2016,0.8218702234438479,ssp126,Japan
2017,0.22991710959761244,ssp126,Japan
2018,0.8180931193476121,ssp126,Japan
2019,0.6183139029835367,ssp126,Japan
2020,0.93135883548483,ssp126,Japan
2021,1.0619385656479459,ssp126,Japan
2022,0.05591519215419864,ssp126,Japan
2023,1.1957372364069883,ssp126,Japan
2024,0.9488478105494706,ssp126,Japan
2025,0.8311158039924301,ssp126,Japan
2026,0.9044498833338865,ssp126,Japan
2027,1.3098722551365078,ssp126,Japan
2028,1.1245272077813244,ssp126,Japan
2029,1.3352516328647632,ssp126,Japan
2030,1.4351950871241554,ssp126,Japan
2031,0.6168894240009098,ssp126,Japan
2032,1.1848626726066225,ssp126,Japan
2033,0.7714910990119613,ssp126,Japan
2034,0.7162069907963673,ssp126,Japan
2035,1.1771757807459615,ssp126,Japan
2036,0.8132102575038126,ssp126,Japan
2037,1.3702339480369503,ssp126,Japan
2038,0.9067203245214679,ssp126,Japan
2039,0.46038202442271653,ssp126,Japan
2040,1.0357722146467954,ssp126,Japan
2041,1.218536380210891,ssp126,Japan
2042,1.2656891046940983,ssp126,Japan
2043,1.6447937549986373,ssp126,Japan
2044,0.8861498613322495,ssp126,Japan
2045,0.9920809399648927,ssp126,Japan
2046,1.2079112204457956,ssp126,Japan
2047,0.7497393714220205,ssp126,Japan
2048,0.9688805039881321,ssp126,Japan
2049,0.8351904911124242,ssp126,Japan
2050,1.2407271286014199,ssp126,Japan
2051,1.0159401739321128,ssp126,Japan
2052,0.8358969292870791,ssp126,Japan
2053,1.039306597898065,ssp126,Japan
2054,1.3341159080954579,ssp126,Japan
2055,1.6689049735907988,ssp126,Japan
2056,1.1460238954898814,ssp126,Japan
2057,1.3092221994504443,ssp126,Japan
2058,1.6758182222155287,ssp126,Japan
2059,1.570143288759522,ssp126,Japan
2060,1.935118874276148,ssp126,Japan
2061,2.0557339032105046,ssp126,Japan
2062,1.8593245634706834,ssp126,Japan
2063,2.1453142549458133,ssp126,Japan
2064,1.3415050524827978,ssp126,Japan
2065,1.6193682611340963,ssp126,Japan
2066,2.1309916179527733,ssp126,Japan
2067,1.4102908230331044,ssp126,Japan
2068,1.6205915379933484,ssp126,Japan
2069,1.3318405711351191,ssp126,Japan
2070,1.1228787393989244,ssp126,Japan
2071,1.7360844115732401,ssp126,Japan
2072,1.717730172281319,ssp126,Japan
2073,1.3488916151874406,ssp126,Japan
2074,1.512133774462081,ssp126,Japan
2075,1.4811059215613036,ssp126,Japan
2076,1.5615537521074176,ssp126,Japan
2077,1.9122402497845277,ssp126,Japan
2078,2.055809449412957,ssp126,Japan
2079,1.5070980735125645,ssp126,Japan
2080,1.1994615806074713,ssp126,Japan
2081,0.9676949804762945,ssp126,Japan
2082,1.3537738720851586,ssp126,Japan
2083,1.5725825900725623,ssp126,Japan
2084,0.9546518745751484,ssp126,Japan
2085,1.4552235715511892,ssp126,Japan
2086,1.4327474706312169,ssp126,Japan
2087,1.4384064519376096,ssp126,Japan
2088,1.0108467486611532,ssp126,Japan
2089,2.0680022973532837,ssp126,Japan
2090,1.2318191832505694,ssp126,Japan
2091,1.297409593873122,ssp126,Japan
2092,1.4959770064669022,ssp126,Japan
2093,1.3429422752893294,ssp126,Japan
2094,1.0687465296356748,ssp126,Japan
2095,1.2439643899105,ssp126,Japan
2096,1.4466953527564657,ssp126,Japan
2097,0.6963127781967247,ssp126,Japan
2098,1.2209622624749144,ssp126,Japan
2099,1.2508807106827888,ssp126,Japan
2100,1.0479691911722644,ssp126,Japan
2015,0.9159389073326338,ssp126,India
2016,1.0459789898245786,ssp126,India
2017,1.1596564434007581,ssp126,India
2018,1.0582938605411667,ssp126,India
2019,0.7793297849514537,ssp126,India
2020,1.6030573288044592,ssp126,India
2021,1.7205272416959883,ssp126,India
2022,0.7124442708640136,ssp126,India
2023,0.42703719511417954,ssp126,India
2024,1.3800380183096705,ssp126,India
2025,1.4401104466141776,ssp126,India
2026,0.9681290911978271,ssp126,India
2027,0.8835140951884249,ssp126,India
2028,0.894917421091811,ssp126,India
2029,0.895751301511886,ssp126,India
2030,1.5999993416822351,ssp126,India
2031,1.1766578059465491,ssp126,India
2032,0.5920396373899334,ssp126,India
2033,1.8698733098483307,ssp126,India
2034,1.2757115339095124,ssp126,India
2035,1.3314805804962193,ssp126,India
2036,1.222368183059665,ssp126,India
2037,1.7829260873840214,ssp126,India
2038,0.831767271414859,ssp126,India
2039,1.0470646969660042,ssp126,India
2040,1.1393378422736644,ssp126,India
2041,1.273742042390547,ssp126,India
2042,1.7542919730301585,ssp126,India
2043,1.6690814578076778,ssp126,India
2044,1.208684192911388,ssp126,India
2045,1.7637467209837652,ssp126,India
2046,2.0341802824505515,ssp126,India
2047,1.426327274329667,ssp126,India
2048,1.8935103025239284,ssp126,India
2049,1.9178222386398711,ssp126,India
2050,1.4203125442134203,ssp126,India
2051,2.0368042832042814,ssp126,India
2052,1.139723490267934,ssp126,India
2053,1.0741644415056388,ssp126,India
2054,1.8061578325343337,ssp126,India
2055,1.623133307440717,ssp126,India
2056,1.1894920568230363,ssp126,India
2057,1.368799464509793,ssp126,India
2058,0.8965719183810497,ssp126,India
2059,1.6872965638145563,ssp126,India
2060,2.1005731960807696,ssp126,India
2061,1.8176061822969296,ssp126,India
2062,1.867165962816275,ssp126,India
2063,0.9424990738776833,ssp126,India
2064,1.2229333846391521,ssp126,India
2065,2.039097887155073,ssp126,India
2066,1.5467030256944014,ssp126,India
2067,1.630913068715981,ssp126,India
2068,1.501744044253376,ssp126,India
2069,1.7170231758781105,ssp126,India
2070,1.0029807321271722,ssp126,India
2071,1.4445872377837512,ssp126,India
2072,0.8141296306253836,ssp126,India
2073,1.500487569961075,ssp126,India
2074,1.5441893902786943,ssp126,India
2075,1.5708539047357442,ssp126,India
2076,1.0497012218878885,ssp126,India
2077,1.5887044607946523,ssp126,India
2078,1.8728118598462804,ssp126,India
2079,1.2238082505273082,ssp126,India
2080,1.3716898562430422,ssp126,India
2081,1.5331502382066882,ssp126,India
2082,2.2067947595658577,ssp126,India
2083,1.8548920654641508,ssp126,India
2084,1.7762604357882454,ssp126,India
2085,1.973756924164781,ssp126,India
2086,1.5042418896913845,ssp126,India
2087,2.031562923359786,ssp126,India
2088,1.8198574375793524,ssp126,India
2089,1.537378965792222,ssp126,India
2090,1.793528554521439,ssp126,India
2091,1.4945769037463117,ssp126,India
2092,1.7313746926887668,ssp126,India
2093,1.590077856451538,ssp126,India
2094,1.195296801305263,ssp126,India
2095,1.049059782457922,ssp126,India
2096,1.350138151595754,ssp126,India
2097,1.176255545845632,ssp126,India
2098,1.5469312664129777,ssp126,India
2099,1.8338837713517864,ssp126,India
2100,1.5011210983468148,ssp126,India
2015,0.8305413035020146,ssp126,People's Republic of China
2016,0.6405790208490809,ssp126,People's Republic of China
2017,0.7263696724525931,ssp126,People's Republic of China
2018,0.9418587437551988,ssp126,People's Republic of China
2019,0.8036256183244016,ssp126,People's Republic of China
2020,1.1094672387099498,ssp126,People's Republic of China
2021,1.0539738645039378,ssp126,People's Republic of China
2022,0.9056492196254136,ssp126,People's Republic of China
2023,0.967709528330754,ssp126,People's Republic of China
2024,1.4202387665197256,ssp126,People's Republic of China
2025,1.4230624036479647,ssp126,People's Republic of China
2026,1.325472246662699,ssp126,People's Republic of China
2027,1.3525236678488362,ssp126,People's Republic of China
2028,0.9699703694958662,ssp126,People's Republic of China
2029,1.369455766039984,ssp126,People's Republic of China
2030,0.961071422573011,ssp126,People's Republic of China
2031,1.3749608641199742,ssp126,People's Republic of China
2032,1.2178854595426167,ssp126,People's Republic of China
2033,1.7554101069132007,ssp126,People's Republic of China
2034,1.0342578004647185,ssp126,People's Republic of China
2035,1.3039840332066701,ssp126,People's Republic of China
2036,1.1783689436552596,ssp126,People's Republic of China
2037,1.554995962423912,ssp126,People's Republic of China
2038,1.5105367356068329,ssp126,People's Republic of China
2039,1.0980825737004722,ssp126,People's Republic of China
2040,1.282055649458501,ssp126,People's Republic of China
2041,1.8796337104529581,ssp126,People's Republic of China
2042,1.4338954978097482,ssp126,People's Republic of China
2043,1.4857062078985492,ssp126,People's Republic of China
2044,1.1981514568677052,ssp126,People's Republic of China
2045,1.8132217187003707,ssp126,People's Republic of China
2046,2.045812024783198,ssp126,People's Republic of China
2047,1.3610409102648047,ssp126,People's Republic of China
2048,1.5923819424647667,ssp126,People's Republic of China
2049,1.312733020414692,ssp126,People's Republic of China
2050,1.6399248404009394,ssp126,People's Republic of China
2051,1.7119161741915458,ssp126,People's Republic of China
2052,1.2060652256208064,ssp126,People's Republic of China
2053,1.567985361114313,ssp126,People's Republic of China
2054,1.7375353948641417,ssp126,People's Republic of China
2055,1.6979164676551268,ssp126,People's Republic of China
2056,1.1270129777474402,ssp126,People's Republic of China
2057,1.5341208002753757,ssp126,People's Republic of China
2058,1.6465620438160928,ssp126,People's Republic of China
2059,1.5060976389192868,ssp126,People's Republic of China
2060,1.642017522942309,ssp126,People's Republic of China
2061,1.9073992379609916,ssp126,People's Republic of China
2062,2.4290447323244795,ssp126,People's Republic of China
2063,1.962952520215285,ssp126,People's Republic of China
2064,1.8246731401467633,ssp126,People's Republic of China
2065,1.8385455145111278,ssp126,People's Republic of China
2066,2.0260730283289377,ssp126,People's Republic of China
2067,1.7789838775952926,ssp126,People's Republic of China
2068,2.00449742729931,ssp126,People's Republic of China
2069,1.9618214449423392,ssp126,People's Republic of China
2070,1.461598769987101,ssp126,People's Republic of China
2071,1.6424933220761697,ssp126,People's Republic of China
2072,1.9033934921146676,ssp126,People's Republic of China
2073,1.8982641956204689,ssp126,People's Republic of China
2074,1.4746568038977297,ssp126,People's Republic of China
2075,1.488796455738252,ssp126,People's Republic of China
2076,1.7811676499800746,ssp126,People's Republic of China
2077,1.6571371929843843,ssp126,People's Republic of China
2078,2.2543649298203197,ssp126,People's Republic of China
2079,1.333805516305611,ssp126,People's Republic of China
2080,1.80903975310267,ssp126,People's Republic of China
2081,1.6304237515402598,ssp126,People's Republic of China
2082,1.9554822553903275,ssp126,People's Republic of China
2083,1.898011991505316,ssp126,People's Republic of China
2084,1.4007889204586335,ssp126,People's Republic of China
2085,1.7873028076544533,ssp126,People's Republic of China
2086,1.8249526679875256,ssp126,People's Republic of China
2087,1.5594014654419082,ssp126,People's Republic of China
2088,1.5586783164378457,ssp126,People's Republic of China
2089,1.934625684724211,ssp126,People's Republic of China
2090,1.0585323752075821,ssp126,People's Republic of China
2091,1.9426227785029992,ssp126,People's Republic of China
2092,1.1950815345663388,ssp126,People's Republic of China
2093,1.5311742186974948,ssp126,People's Republic of China
2094,1.2309349356564279,ssp126,People's Republic of China
2095,1.7591584814211498,ssp126,People's Republic of China
2096,1.7528430547339577,ssp126,People's Republic of China
2097,1.4002749464787188,ssp126,People's Republic of China
2098,1.6657794508066124,ssp126,People's Republic of China
2099,1.587114165544725,ssp126,People's Republic of China
2100,1.1951484267488908,ssp126,People's Republic of China
2015,0.6408499527525693,ssp245,United States of America
2016,0.9170038197853149,ssp245,United States of America
2017,1.3715795246042977,ssp245,United States of America
2018,1.2785520169684226,ssp245,United States of America
2019,1.1086699573776937,ssp245,United States of America
2020,0.9220259118080983,ssp245,United States of America
2021,1.3624715507224499,ssp245,United States of America
2022,1.5170473555832615,ssp245,United States of America
2023,1.2391831049945021,ssp245,United States of America
2024,1.1508336698571593,ssp245,United States of America
2025,1.3496255461324942,ssp245,United States of America
2026,1.5573022333892912,ssp245,United States of America
2027,1.0767225322587801,ssp245,United States of America
2028,1.4891806451853364,ssp245,United States of America
2029,1.5721213590237266,ssp245,United States of America
2030,1.3312935670778072,ssp245,United States of America
2031,1.9622021879444553,ssp245,United States of America
2032,1.6502053387626892,ssp245,United States of America
2033,2.115082564818097,ssp245,United States of America
2034,1.5773094466787583,ssp245,United States of America
2035,1.5267999943557942,ssp245,United States of America
2036,1.9466783431420986,ssp245,United States of America
2037,1.6559807543186775,ssp245,United States of America
2038,1.9347060846139739,ssp245,United States of America
2039,1.762069962228559,ssp245,United States of America
2040,1.995541855345683,ssp245,United States of America
2041,1.7298309267280774,ssp245,United States of America
2042,2.4522326062884963,ssp245,United States of America
2043,1.2332164278789373,ssp245,United States of America
2044,1.7139163434653397,ssp245,United States of America
2045,2.0349372410143007,ssp245,United States of America
2046,2.1629571265571035,ssp245,United States of America
2047,2.0359115949317785,ssp245,United States of America
2048,1.6973930251578437,ssp245,United States of America
2049,2.542828636118541,ssp245,United States of America
2050,1.6315227858034032,ssp245,United States of America
2051,2.20966096595552,ssp245,United States of America
2052,1.889703299498145,ssp245,United States of America
2053,1.863659698046172,ssp245,United States of America
2054,2.2775758319033015,ssp245,United States of America
2055,1.9462925249563048,ssp245,United States of America
2056,2.107519159894616,ssp245,United States of America
2057,2.358367382288557,ssp245,United States of America
2058,2.7415627134370824,ssp245,United States of America
2059,2.5576391189114434,ssp245,United States of America
2060,2.002125434636812,ssp245,United States of America
2061,2.435501719798258,ssp245,United States of America
2062,2.1992788970026274,ssp245,United States of America
2063,2.4575394105386605,ssp245,United States of America
2064,2.514383396897616,ssp245,United States of America
2065,2.1345307330966583,ssp245,United States of America
2066,1.9838441689456237,ssp245,United States of America
2067,2.484121868806576,ssp245,United States of America
2068,2.1426688290456637,ssp245,United States of America
2069,2.1244511365812437,ssp245,United States of America
2070,2.378769431367817,ssp245,United States of America
2071,2.031678493305329,ssp245,United States of America
2072,2.390572112941568,ssp245,United States of America
2073,2.7678626455516744,ssp245,United States of America
2074,2.327204020740811,ssp245,United States of America
2075,2.9813090237866113,ssp245,United States of America
2076,2.882563384782951,ssp245,United States of America
2077,2.139156408478925,ssp245,United States of America
2078,2.8320928000451664,ssp245,United States of America
2079,2.5975951958086423,ssp245,United States of America
2080,3.2770414814231863,ssp245,United States of America
2081,3.004514508295837,ssp245,United States of America
2082,2.8961038772887036,ssp245,United States of America
2083,3.0661815760636877,ssp245,United States of America
2084,2.9119481268158425,ssp245,United States of America
2085,2.446386229532745,ssp245,United States of America
2086,2.9560135793644613,ssp245,United States of America
2087,3.339557408047287,ssp245,United States of America
2088,2.983106991758148,ssp245,United States of America
2089,3.2143207388976096,ssp245,United States of America
2090,3.1265033684563988,ssp245,United States of America
2091,2.7207534735729118,ssp245,United States of America
2092,2.698833940390983,ssp245,United States of America
2093,2.8318850883108695,ssp245,United States of America
2094,2.9916311461581153,ssp245,United States of America
2095,2.7984162068554377,ssp245,United States of America
2096,2.4467873866970202,ssp245,United States of America
2097,2.955253722324952,ssp245,United States of America
2098,3.220875928752397,ssp245,United States of America
2099,2.9420898796125967,ssp245,United States of America
2100,3.1963689467865626,ssp245,United States of America
2015,1.295614905615745,ssp245,Russia
2016,0.7621487140436886,ssp245,Russia
2017,2.3609110187346087,ssp245,Russia
2018,0.46429685862131587,ssp245,Russia
2019,0.9998755700167208,ssp245,Russia
2020,1.2503082090601734,ssp245,Russia
2021,1.3633893602056741,ssp245,Russia
2022,1.7497503017885503,ssp245,Russia
2023,1.018222825074404,ssp245,Russia
2024,1.0042311958580799,ssp245,Russia
2025,1.4424551238608498,ssp245,Russia
2026,1.5389205919879498,ssp245,Russia
2027,1.3661252105958064,ssp245,Russia
2028,0.9468247504586409,ssp245,Russia
2029,1.9884651447416555,ssp245,Russia
2030,1.265987514949282,ssp245,Russia
2031,1.685629048283845,ssp245,Russia
2032,1.7004405429323617,ssp245,Russia
2033,1.7008848432250276,ssp245,Russia
2034,1.7441966953013202,ssp245,Russia
2035,2.4700531757582223,ssp245,Russia
2036,1.9947579034112344,ssp245,Russia
2037,2.6780761233340935,ssp245,Russia
2038,1.4661324226088368,ssp245,Russia
2039,1.9156605131520628,ssp245,Russia
2040,1.6366819014576803,ssp245,Russia
2041,2.5142520178395067,ssp245,Russia
2042,1.9855986623097104,ssp245,Russia
2043,1.9807535684695048,ssp245,Russia
2044,1.6724515100798873,ssp245,Russia
2045,1.4987593065692228,ssp245,Russia
2046,1.9595242761251286,ssp245,Russia
2047,2.46013978351237,ssp245,Russia
2048,2.3017022620497545,ssp245,Russia
2049,2.3746131357055345,ssp245,Russia
2050,2.5102504260181675,ssp245,Russia
2051,2.6844788607933463,ssp245,Russia
2052,2.3144073426055143,ssp245,Russia
2053,2.80474297355105,ssp245,Russia
2054,2.056319250772644,ssp245,Russia
2055,1.8700005578009198,ssp245,Russia
